Time,TimeInterval,Voltage,FunctionGenerator,Oscilloscope,FreqRange
2023-06-08 10:06:49.937527,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 10:07:10.589856,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 10:07:31.198185,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 10:07:51.814237,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 10:08:12.427930,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 10:08:33.021966,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 10:08:53.631736,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 10:09:14.254491,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 10:09:34.876483,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 10:09:55.494548,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 10:10:16.102384,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 10:10:36.699241,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 10:10:57.322298,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 10:11:17.953646,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 10:11:38.578174,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 10:11:59.202247,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 10:12:19.824139,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 10:12:40.445043,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 10:13:01.047276,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 10:13:21.670296,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 10:13:42.294051,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 10:14:02.919689,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 10:14:23.537742,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 10:14:44.164048,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 10:15:04.787099,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 10:15:25.410562,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 10:15:46.034699,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 10:16:06.653406,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-08 10:16:27.272022,20,6,USB0::0x0D4A::0x000D::9217876::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
